,VKORG,COND_TYPE,DST_CH,DIV,Month_year,Amount,Customer_ID,Internal_Grade,Mill,OFFER_ EFF_PR _NUMBER,OFFER_ALLOY_NUMBER,OFFER_ALLOY,OFFER_EFF_PR
48705,0300,Z133,02,02,202203,48.0,93606,2612,Duisburg,,,,
48706,0300,Z133,02,02,202203,49.0,93606,2617,Duisburg,,70954.0,1,
48707,0300,Z133,02,02,202203,125.0,93606,2691,Duisburg,,,,
48708,0300,Z133,02,02,202203,16.0,93606,3310,Duisburg,,,,
48709,0300,Z133,02,02,202203,16.0,93606,3315,Duisburg,,,,
48710,0300,Z133,02,02,202203,493.0,93606,3411,Duisburg,,,,
48711,0300,Z133,02,02,202203,22.0,93606,3417,Duisburg,,,,
48712,0300,Z133,02,02,202203,143.0,93606,3432,Duisburg,,,,
48713,0300,Z133,02,02,202203,153.0,93606,4321,Duisburg,,,,
48714,0300,Z133,02,02,202203,153.0,93606,4321,Duisburg,,,,
48715,0300,Z133,02,02,202203,153.0,93606,4321,Duisburg,,,,
48716,0300,Z133,02,02,202203,54.0,93606,4448,Duisburg,,,,
48717,0300,Z133,02,02,202203,8.0,93606,7100,Duisburg,,,,
48718,0300,Z133,02,02,202203,15.0,84282,0917,Duisburg,,,,
48719,0300,Z133,02,02,202203,43.0,84282,2554,Duisburg,,,,
48720,0300,Z133,02,02,202203,8.0,84282,2568,Duisburg,,,,
48721,0300,Z133,02,02,202203,184.0,84282,2603,Duisburg,,,,
48722,0300,Z133,02,02,202203,48.0,84282,2612,Duisburg,,,,
48723,0300,Z133,02,02,202203,48.0,84282,2612,Duisburg,,,,
48724,0300,Z133,02,02,202203,63.0,84282,2620,Duisburg,,,,
48725,0300,Z133,02,02,202203,63.0,84282,2620,Duisburg,,,,
48726,0300,Z133,02,02,202203,128.0,84282,2691,Duisburg,,,,
48727,0300,Z133,02,02,202203,37.0,84282,3202,Duisburg,,,,
48728,0300,Z133,02,02,202203,75.0,84282,3240,Duisburg,,,,
48729,0300,Z133,02,02,202203,63.0,84282,4305,Duisburg,,,,
48730,0300,Z133,02,02,202203,62.0,84282,4313,Duisburg,,,,
48731,0300,Z133,02,02,202203,153.0,84282,4321,Duisburg,,,,
48732,0300,Z133,02,02,202203,15.0,84282,4356,Duisburg,,,,
48733,0300,Z133,02,02,202203,135.0,84282,4403,Duisburg,,,,
48734,0300,Z133,02,02,202203,50.0,84282,4434,Duisburg,,,,
48735,0300,Z133,02,02,202203,135.0,84282,4436,Duisburg,,,,
48736,0300,Z133,02,02,202203,135.0,84282,4436,Duisburg,,,,
48737,0300,Z133,02,02,202203,135.0,84282,4436,Duisburg,,,,
48738,0300,Z133,02,02,202203,134.0,84282,4440,Duisburg,,,,
48739,0300,Z133,02,02,202203,15.0,84305,0927,Duisburg,,,,
48740,0300,Z133,02,02,202203,32.0,84305,2566,Duisburg,,,,
48741,0300,Z133,02,02,202203,32.0,84305,2566,Duisburg,,,,
48742,0300,Z133,02,02,202203,49.0,84305,2617,Duisburg,,,,
48743,0300,Z133,02,02,202203,63.0,84305,2620,Duisburg,,,,
48744,0300,Z133,02,02,202203,125.0,84305,2691,Duisburg,,,,
48745,0300,Z133,02,02,202203,481.0,84305,3185,Duisburg,,,,
48746,0300,Z133,02,02,202203,14.0,84305,3293,Duisburg,,,,
48747,0300,Z133,02,02,202203,491.0,84305,3411,Duisburg,,,,
48748,0300,Z133,02,02,202203,7.0,84305,3459,Duisburg,,,,
48749,0300,Z133,02,02,202203,8.0,84305,3492,Duisburg,,,,
48750,0300,Z133,02,02,202203,579.0,84305,3515,Duisburg,,,,
48751,0300,Z133,02,02,202203,626.0,84305,3515,Duisburg,,,,
48752,0300,Z133,02,02,202203,443.0,84305,3610,Duisburg,,,,
48753,0300,Z133,02,02,202203,64.0,84305,4313,Duisburg,,,,
48754,0300,Z133,02,02,202203,135.0,84305,4403,Duisburg,,,,
48755,0300,Z133,02,02,202203,135.0,84305,4436,Duisburg,,,,
48756,0300,Z133,02,02,202203,10.0,93610,4183,Duisburg,,,,
48757,0300,Z133,02,02,202203,11.0,93610,4215,Duisburg,,,,
48758,0300,Z133,02,02,202203,15.0,83074,4220,Duisburg,,,,
48759,0300,Z133,02,02,202203,135.0,93629,4436,Duisburg,,,,
48760,0300,Z133,02,02,202203,7.0,84278,0850,Duisburg,,,,
48761,0300,Z133,02,02,202203,8.0,84278,0850,Duisburg,,,,
48762,0300,Z133,02,02,202203,15.0,84278,0927,Duisburg,,,,
48763,0300,Z133,02,02,202203,16.0,84278,2559,Duisburg,,,,
48764,0300,Z133,02,02,202203,49.0,84278,2597,Duisburg,,,,
48765,0300,Z133,02,02,202203,49.0,84278,2597,Duisburg,,,,
48766,0300,Z133,02,02,202203,49.0,84278,2597,Duisburg,,,,
48767,0300,Z133,02,02,202203,15.0,84278,2860,Duisburg,,,,
48768,0300,Z133,02,02,202203,42.0,84278,3172,Duisburg,,,,
48769,0300,Z133,02,02,202203,16.0,84278,3310,Duisburg,,,,
48770,0300,Z133,02,02,202203,16.0,84278,3310,Duisburg,,,,
48771,0300,Z133,02,02,202203,16.0,84278,3315,Duisburg,,,,
48772,0300,Z133,02,02,202203,8.0,84278,3492,Duisburg,,,,
48773,0300,Z133,02,02,202203,141.0,84278,4404,Duisburg,,,,
48774,0300,Z133,02,02,202203,144.0,84278,4436,Duisburg,,,,
48775,0300,Z133,02,02,202203,25.0,84285,3365,Duisburg,,,,
48776,0300,Z133,02,02,202203,49.0,84876,2597,Duisburg,,,,
48777,0300,Z133,02,02,202203,125.0,84876,2692,Duisburg,,,,
48778,0300,Z133,02,02,202203,579.0,84876,3515,Duisburg,,,,
48779,0300,Z133,02,02,202203,135.0,84876,4436,Duisburg,,,,
48780,0300,Z133,02,02,202203,4.0,340352,0525,Duisburg,,,,
48781,0300,Z133,02,02,202203,4.0,340352,0525,Duisburg,,,,
